Arguments:
  JK: False
  cfg: configs/pubmed/virtual_gcn.yaml
  cluster_method: metis
  dataset: Pubmed
  device: 0
  dropout: 0.5
  epochs: 300
  experiment_name: None
  hidden_channels: 16
  log_steps: 1
  lr: 0.01
  mode: max
  model: gcn
  num_layers: 2
  num_parts: 2
  runs: 5
  sparse_ratio: 1.0
  use_bn: 0
  use_virtual: True
  wandb: False
  wd: 0.0005
loading cluster edges from: cluster_data/Pubmed_cluster_adj_2.pt
cluster edges: 4, total cluster edges:2
Model modules:
 VNGNN(
  (convs): ModuleList(
    (0): GCNConv(500, 16)
    (1): GCNConv(16, 3)
  )
  (bns): ModuleList(
    (0): BatchNorm1d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (vns): VirtualNode(
    (vn_emb): Embedding(2, 500)
    (mlp_vns): ModuleList(
      (0): Sequential(
        (0): Linear(in_features=500, out_features=16, bias=True)
        (1): LayerNorm((16,), eps=1e-05, elementwise_affine=True)
        (2): ReLU()
      )
    )
    (convs): ModuleList(
      (0): GCNConv(500, 500)
      (1): GCNConv(16, 16)
    )
    (bns): ModuleList()
  )
)
Parameters:
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|      convs.0.bias      |     16     |
|   convs.0.lin.weight   |    8000    |
|      convs.1.bias      |     3      |
|   convs.1.lin.weight   |     48     |
|      bns.0.weight      |     16     |
|       bns.0.bias       |     16     |
|   vns.vn_emb.weight    |    1000    |
| vns.mlp_vns.0.0.weight |    8000    |
|  vns.mlp_vns.0.0.bias  |     16     |
| vns.mlp_vns.0.1.weight |     16     |
|  vns.mlp_vns.0.1.bias  |     16     |
|    vns.convs.0.bias    |    500     |
| vns.convs.0.lin.weight |   250000   |
|    vns.convs.1.bias    |     16     |
| vns.convs.1.lin.weight |    256     |
+------------------------+------------+
Total Trainable Params: 267919

Start Training...
Run: 01, Epoch: 26, Train Loss: 0.9321, Valid Loss:  0.8836, Test Loss:  0.9102,  Train Acc: 68.33%, Valid Acc: 70.00%, Test Acc: 65.80%
Run: 01, Epoch: 27, Train Loss: 0.9255, Valid Loss:  0.8882, Test Loss:  0.9154,  Train Acc: 68.33%, Valid Acc: 70.00%, Test Acc: 67.20%
Run: 01, Epoch: 28, Train Loss: 0.9205, Valid Loss:  0.8980, Test Loss:  0.9264,  Train Acc: 70.00%, Valid Acc: 71.40%, Test Acc: 69.10%
Run: 01, Epoch: 29, Train Loss: 0.9191, Valid Loss:  0.9122, Test Loss:  0.9436,  Train Acc: 73.33%, Valid Acc: 70.40%, Test Acc: 67.90%
Run: 01, Epoch: 30, Train Loss: 0.9191, Valid Loss:  0.9235, Test Loss:  0.9589,  Train Acc: 68.33%, Valid Acc: 65.40%, Test Acc: 63.90%
Run: 01, Epoch: 31, Train Loss: 0.9168, Valid Loss:  0.9280, Test Loss:  0.9679,  Train Acc: 63.33%, Valid Acc: 59.60%, Test Acc: 57.30%
Run: 01, Epoch: 32, Train Loss: 0.9113, Valid Loss:  0.9232, Test Loss:  0.9683,  Train Acc: 56.67%, Valid Acc: 55.00%, Test Acc: 54.00%
Run: 01, Epoch: 33, Train Loss: 0.9019, Valid Loss:  0.9158, Test Loss:  0.9653,  Train Acc: 48.33%, Valid Acc: 50.80%, Test Acc: 49.10%
Run: 01, Epoch: 34, Train Loss: 0.8930, Valid Loss:  0.8995, Test Loss:  0.9519,  Train Acc: 48.33%, Valid Acc: 50.00%, Test Acc: 48.70%
Run: 01, Epoch: 35, Train Loss: 0.8919, Valid Loss:  0.8854, Test Loss:  0.9397,  Train Acc: 50.00%, Valid Acc: 50.20%, Test Acc: 48.50%
Run: 01, Epoch: 36, Train Loss: 0.9016, Valid Loss:  0.8834, Test Loss:  0.9380,  Train Acc: 50.00%, Valid Acc: 50.00%, Test Acc: 48.60%
Run: 01, Epoch: 37, Train Loss: 0.9106, Valid Loss:  0.8734, Test Loss:  0.9274,  Train Acc: 56.67%, Valid Acc: 52.60%, Test Acc: 52.10%
Run: 01, Epoch: 38, Train Loss: 0.9121, Valid Loss:  0.8625, Test Loss:  0.9147,  Train Acc: 71.67%, Valid Acc: 68.20%, Test Acc: 66.40%
Run: 01, Epoch: 39, Train Loss: 0.9000, Valid Loss:  0.8597, Test Loss:  0.9089,  Train Acc: 73.33%, Valid Acc: 70.00%, Test Acc: 67.60%
Run: 01, Epoch: 40, Train Loss: 0.8759, Valid Loss:  0.8567, Test Loss:  0.9010,  Train Acc: 73.33%, Valid Acc: 69.80%, Test Acc: 67.50%
