Arguments:
  JK: False
  cfg: configs/pubmed/baseline_gcn_one_virtual.yaml
  cluster_method: metis
  dataset: Pubmed
  device: 0
  dropout: 0.5
  epochs: 300
  experiment_name: None
  hidden_channels: 16
  log_steps: 1
  lr: 0.01
  mode: max
  model: gcn
  num_layers: 2
  num_parts: 1
  runs: 5
  sparse_ratio: 1.0
  use_bn: 0
  use_virtual: True
  wandb: False
  wd: 0.0005
loading cluster edges from: cluster_data/Pubmed_cluster_adj_1.pt
cluster edges: 1, total cluster edges:0
Model modules:
 VNGNN(
  (convs): ModuleList(
    (0): GCNConv(500, 16)
    (1): GCNConv(16, 3)
  )
  (bns): ModuleList(
    (0): BatchNorm1d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (vns): VirtualNode(
    (vn_emb): Embedding(1, 500)
    (mlp_vns): ModuleList(
      (0): Sequential(
        (0): Linear(in_features=500, out_features=16, bias=True)
        (1): LayerNorm((16,), eps=1e-05, elementwise_affine=True)
        (2): ReLU()
      )
    )
    (convs): ModuleList(
      (0): GCNConv(500, 500)
      (1): GCNConv(16, 16)
    )
    (bns): ModuleList()
  )
)
Parameters:
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|      convs.0.bias      |     16     |
|   convs.0.lin.weight   |    8000    |
|      convs.1.bias      |     3      |
|   convs.1.lin.weight   |     48     |
|      bns.0.weight      |     16     |
|       bns.0.bias       |     16     |
|   vns.vn_emb.weight    |    500     |
| vns.mlp_vns.0.0.weight |    8000    |
|  vns.mlp_vns.0.0.bias  |     16     |
| vns.mlp_vns.0.1.weight |     16     |
|  vns.mlp_vns.0.1.bias  |     16     |
|    vns.convs.0.bias    |    500     |
| vns.convs.0.lin.weight |   250000   |
|    vns.convs.1.bias    |     16     |
| vns.convs.1.lin.weight |    256     |
+------------------------+------------+
Total Trainable Params: 267419

Start Training...
Run: 01, Epoch: 26, Train Loss: 1.0613, Valid Loss:  1.0954, Test Loss:  1.0970,  Train Acc: 36.67%, Valid Acc: 20.20%, Test Acc: 18.40%
Run: 01, Epoch: 27, Train Loss: 1.0578, Valid Loss:  1.0904, Test Loss:  1.0921,  Train Acc: 41.67%, Valid Acc: 24.80%, Test Acc: 22.60%
Run: 01, Epoch: 28, Train Loss: 1.0560, Valid Loss:  1.0741, Test Loss:  1.0732,  Train Acc: 58.33%, Valid Acc: 52.60%, Test Acc: 54.60%
Run: 01, Epoch: 29, Train Loss: 1.0541, Valid Loss:  1.0585, Test Loss:  1.0560,  Train Acc: 53.33%, Valid Acc: 54.40%, Test Acc: 56.00%
Run: 01, Epoch: 30, Train Loss: 1.0578, Valid Loss:  1.0468, Test Loss:  1.0434,  Train Acc: 55.00%, Valid Acc: 51.00%, Test Acc: 51.90%
Run: 01, Epoch: 31, Train Loss: 1.0658, Valid Loss:  1.0604, Test Loss:  1.0611,  Train Acc: 33.33%, Valid Acc: 41.60%, Test Acc: 40.70%
Run: 01, Epoch: 32, Train Loss: 1.0720, Valid Loss:  1.0924, Test Loss:  1.0981,  Train Acc: 33.33%, Valid Acc: 41.80%, Test Acc: 40.80%
Run: 01, Epoch: 33, Train Loss: 1.0607, Valid Loss:  1.0895, Test Loss:  1.0950,  Train Acc: 40.00%, Valid Acc: 43.60%, Test Acc: 42.10%
Run: 01, Epoch: 34, Train Loss: 1.0448, Valid Loss:  1.0765, Test Loss:  1.0801,  Train Acc: 58.33%, Valid Acc: 50.80%, Test Acc: 50.50%
Run: 01, Epoch: 35, Train Loss: 1.0332, Valid Loss:  1.0726, Test Loss:  1.0748,  Train Acc: 73.33%, Valid Acc: 51.20%, Test Acc: 49.40%
Run: 01, Epoch: 36, Train Loss: 1.0309, Valid Loss:  1.0850, Test Loss:  1.0876,  Train Acc: 48.33%, Valid Acc: 25.00%, Test Acc: 23.70%
Run: 01, Epoch: 37, Train Loss: 1.0349, Valid Loss:  1.1070, Test Loss:  1.1122,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 38, Train Loss: 1.0494, Valid Loss:  1.1402, Test Loss:  1.1497,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 39, Train Loss: 1.0607, Valid Loss:  1.1592, Test Loss:  1.1715,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 40, Train Loss: 1.0621, Valid Loss:  1.1584, Test Loss:  1.1715,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 41, Train Loss: 1.0374, Valid Loss:  1.1100, Test Loss:  1.1189,  Train Acc: 45.00%, Valid Acc: 26.60%, Test Acc: 26.10%
Run: 01, Epoch: 42, Train Loss: 1.0187, Valid Loss:  1.0667, Test Loss:  1.0705,  Train Acc: 66.67%, Valid Acc: 54.20%, Test Acc: 52.30%
Run: 01, Epoch: 43, Train Loss: 1.0164, Valid Loss:  1.0373, Test Loss:  1.0359,  Train Acc: 80.00%, Valid Acc: 67.80%, Test Acc: 66.70%
Run: 01, Epoch: 44, Train Loss: 1.0352, Valid Loss:  1.0311, Test Loss:  1.0254,  Train Acc: 45.00%, Valid Acc: 50.00%, Test Acc: 51.90%
Run: 01, Epoch: 45, Train Loss: 1.0518, Valid Loss:  1.0354, Test Loss:  1.0276,  Train Acc: 38.33%, Valid Acc: 40.80%, Test Acc: 43.50%
Run: 01, Epoch: 46, Train Loss: 1.0595, Valid Loss:  1.0351, Test Loss:  1.0263,  Train Acc: 38.33%, Valid Acc: 39.40%, Test Acc: 42.40%
Run: 01, Epoch: 47, Train Loss: 1.0565, Valid Loss:  1.0340, Test Loss:  1.0251,  Train Acc: 35.00%, Valid Acc: 39.00%, Test Acc: 41.50%
Run: 01, Epoch: 48, Train Loss: 1.0344, Valid Loss:  1.0309, Test Loss:  1.0235,  Train Acc: 36.67%, Valid Acc: 39.40%, Test Acc: 42.00%
Run: 01, Epoch: 49, Train Loss: 1.0102, Valid Loss:  1.0313, Test Loss:  1.0264,  Train Acc: 40.00%, Valid Acc: 41.00%, Test Acc: 43.60%
Run: 01, Epoch: 50, Train Loss: 0.9908, Valid Loss:  1.0446, Test Loss:  1.0446,  Train Acc: 78.33%, Valid Acc: 66.00%, Test Acc: 64.90%
Run: 01, Epoch: 51, Train Loss: 0.9915, Valid Loss:  1.0690, Test Loss:  1.0740,  Train Acc: 55.00%, Valid Acc: 30.40%, Test Acc: 30.80%
Run: 01, Epoch: 52, Train Loss: 1.0005, Valid Loss:  1.0934, Test Loss:  1.1018,  Train Acc: 45.00%, Valid Acc: 22.60%, Test Acc: 21.20%
Run: 01, Epoch: 53, Train Loss: 1.0000, Valid Loss:  1.0976, Test Loss:  1.1067,  Train Acc: 40.00%, Valid Acc: 21.80%, Test Acc: 20.60%
Run: 01, Epoch: 54, Train Loss: 0.9885, Valid Loss:  1.0818, Test Loss:  1.0894,  Train Acc: 45.00%, Valid Acc: 25.00%, Test Acc: 23.60%
Run: 01, Epoch: 55, Train Loss: 0.9769, Valid Loss:  1.0575, Test Loss:  1.0624,  Train Acc: 68.33%, Valid Acc: 42.60%, Test Acc: 40.90%
Run: 01, Epoch: 56, Train Loss: 0.9695, Valid Loss:  1.0392, Test Loss:  1.0412,  Train Acc: 86.67%, Valid Acc: 68.00%, Test Acc: 67.00%
Run: 01, Epoch: 57, Train Loss: 0.9671, Valid Loss:  1.0287, Test Loss:  1.0285,  Train Acc: 85.00%, Valid Acc: 69.80%, Test Acc: 68.60%
Run: 01, Epoch: 58, Train Loss: 0.9736, Valid Loss:  1.0273, Test Loss:  1.0250,  Train Acc: 65.00%, Valid Acc: 54.20%, Test Acc: 55.20%
Run: 01, Epoch: 59, Train Loss: 0.9804, Valid Loss:  1.0251, Test Loss:  1.0211,  Train Acc: 53.33%, Valid Acc: 43.80%, Test Acc: 47.00%
Run: 01, Epoch: 60, Train Loss: 0.9849, Valid Loss:  1.0151, Test Loss:  1.0091,  Train Acc: 41.67%, Valid Acc: 42.20%, Test Acc: 45.10%
Run: 01, Epoch: 61, Train Loss: 0.9729, Valid Loss:  0.9954, Test Loss:  0.9896,  Train Acc: 56.67%, Valid Acc: 53.80%, Test Acc: 55.40%
Run: 01, Epoch: 62, Train Loss: 0.9657, Valid Loss:  0.9883, Test Loss:  0.9839,  Train Acc: 75.00%, Valid Acc: 63.40%, Test Acc: 65.50%
Run: 01, Epoch: 63, Train Loss: 0.9611, Valid Loss:  0.9904, Test Loss:  0.9882,  Train Acc: 65.00%, Valid Acc: 53.60%, Test Acc: 53.70%
Run: 01, Epoch: 64, Train Loss: 0.9456, Valid Loss:  0.9978, Test Loss:  0.9973,  Train Acc: 88.33%, Valid Acc: 68.40%, Test Acc: 69.70%
Run: 01, Epoch: 65, Train Loss: 0.9358, Valid Loss:  1.0095, Test Loss:  1.0096,  Train Acc: 86.67%, Valid Acc: 72.00%, Test Acc: 71.00%
