Arguments:
  JK: False
  cfg: configs/pubmed/baseline_gcn.yaml
  cluster_method: metis
  dataset: Pubmed
  device: 0
  dropout: 0.5
  epochs: 300
  experiment_name: None
  hidden_channels: 16
  log_steps: 1
  lr: 0.01
  mode: max
  model: gcn
  num_layers: 2
  num_parts: 128
  runs: 5
  sparse_ratio: 1.0
  use_bn: 0
  use_virtual: False
  wandb: False
  wd: 0.0005
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.x
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.tx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.allx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.y
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.ty
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.ally
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.graph
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.test.index
Processing...
Done!
Model modules:
 VNGNN(
  (convs): ModuleList(
    (0): GCNConv(500, 16)
    (1): GCNConv(16, 3)
  )
  (bns): ModuleList(
    (0): BatchNorm1d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
)
Parameters:
+--------------------+------------+
|      Modules       | Parameters |
+--------------------+------------+
|    convs.0.bias    |     16     |
| convs.0.lin.weight |    8000    |
|    convs.1.bias    |     3      |
| convs.1.lin.weight |     48     |
|    bns.0.weight    |     16     |
|     bns.0.bias     |     16     |
+--------------------+------------+
Total Trainable Params: 8099

Start Training...
Run: 01, Epoch: 27, Train Loss: 0.5424, Valid Loss:  0.7663, Test Loss:  0.7794,  Train Acc: 95.00%, Valid Acc: 76.00%, Test Acc: 74.30%
Run: 01, Epoch: 28, Train Loss: 0.5218, Valid Loss:  0.7547, Test Loss:  0.7684,  Train Acc: 95.00%, Valid Acc: 76.00%, Test Acc: 74.50%
Run: 01, Epoch: 29, Train Loss: 0.5018, Valid Loss:  0.7443, Test Loss:  0.7588,  Train Acc: 96.67%, Valid Acc: 76.80%, Test Acc: 74.50%
Run: 01, Epoch: 30, Train Loss: 0.4826, Valid Loss:  0.7352, Test Loss:  0.7506,  Train Acc: 96.67%, Valid Acc: 76.80%, Test Acc: 74.50%
Run: 01, Epoch: 31, Train Loss: 0.4642, Valid Loss:  0.7260, Test Loss:  0.7424,  Train Acc: 96.67%, Valid Acc: 77.00%, Test Acc: 74.50%
Run: 01, Epoch: 32, Train Loss: 0.4467, Valid Loss:  0.7181, Test Loss:  0.7355,  Train Acc: 96.67%, Valid Acc: 77.20%, Test Acc: 74.70%
Run: 01, Epoch: 33, Train Loss: 0.4299, Valid Loss:  0.7108, Test Loss:  0.7291,  Train Acc: 95.00%, Valid Acc: 77.20%, Test Acc: 74.50%
Run: 01, Epoch: 34, Train Loss: 0.4138, Valid Loss:  0.7034, Test Loss:  0.7225,  Train Acc: 95.00%, Valid Acc: 77.40%, Test Acc: 74.70%
Run: 01, Epoch: 35, Train Loss: 0.3979, Valid Loss:  0.6947, Test Loss:  0.7141,  Train Acc: 96.67%, Valid Acc: 77.40%, Test Acc: 74.80%
Run: 01, Epoch: 36, Train Loss: 0.3824, Valid Loss:  0.6852, Test Loss:  0.7048,  Train Acc: 96.67%, Valid Acc: 77.20%, Test Acc: 74.90%
Run: 01, Epoch: 37, Train Loss: 0.3676, Valid Loss:  0.6750, Test Loss:  0.6945,  Train Acc: 96.67%, Valid Acc: 77.00%, Test Acc: 75.40%
Run: 01, Epoch: 38, Train Loss: 0.3537, Valid Loss:  0.6656, Test Loss:  0.6849,  Train Acc: 96.67%, Valid Acc: 76.60%, Test Acc: 75.80%
Run: 01, Epoch: 39, Train Loss: 0.3408, Valid Loss:  0.6570, Test Loss:  0.6764,  Train Acc: 96.67%, Valid Acc: 76.80%, Test Acc: 75.70%
Run: 01, Epoch: 40, Train Loss: 0.3287, Valid Loss:  0.6488, Test Loss:  0.6684,  Train Acc: 96.67%, Valid Acc: 77.40%, Test Acc: 76.30%
Run: 01, Epoch: 41, Train Loss: 0.3173, Valid Loss:  0.6414, Test Loss:  0.6613,  Train Acc: 96.67%, Valid Acc: 77.40%, Test Acc: 75.90%
Run: 01, Epoch: 42, Train Loss: 0.3063, Valid Loss:  0.6349, Test Loss:  0.6551,  Train Acc: 96.67%, Valid Acc: 77.20%, Test Acc: 76.80%
Run: 01, Epoch: 43, Train Loss: 0.2957, Valid Loss:  0.6299, Test Loss:  0.6507,  Train Acc: 96.67%, Valid Acc: 77.80%, Test Acc: 76.40%
Run: 01, Epoch: 44, Train Loss: 0.2856, Valid Loss:  0.6257, Test Loss:  0.6470,  Train Acc: 96.67%, Valid Acc: 77.80%, Test Acc: 76.20%
Run: 01, Epoch: 45, Train Loss: 0.2760, Valid Loss:  0.6222, Test Loss:  0.6442,  Train Acc: 96.67%, Valid Acc: 77.80%, Test Acc: 76.50%
Run: 01, Epoch: 46, Train Loss: 0.2668, Valid Loss:  0.6198, Test Loss:  0.6425,  Train Acc: 96.67%, Valid Acc: 77.80%, Test Acc: 76.30%
Run: 01, Epoch: 47, Train Loss: 0.2581, Valid Loss:  0.6184, Test Loss:  0.6416,  Train Acc: 96.67%, Valid Acc: 77.20%, Test Acc: 75.90%
Run: 01, Epoch: 48, Train Loss: 0.2499, Valid Loss:  0.6176, Test Loss:  0.6413,  Train Acc: 96.67%, Valid Acc: 77.20%, Test Acc: 76.10%
Run: 01, Epoch: 49, Train Loss: 0.2423, Valid Loss:  0.6174, Test Loss:  0.6415,  Train Acc: 96.67%, Valid Acc: 77.00%, Test Acc: 76.20%
Run: 01, Epoch: 50, Train Loss: 0.2351, Valid Loss:  0.6166, Test Loss:  0.6410,  Train Acc: 96.67%, Valid Acc: 77.00%, Test Acc: 76.40%
Run: 01, Epoch: 51, Train Loss: 0.2280, Valid Loss:  0.6156, Test Loss:  0.6401,  Train Acc: 96.67%, Valid Acc: 77.00%, Test Acc: 76.50%
Run: 01, Epoch: 52, Train Loss: 0.2214, Valid Loss:  0.6144, Test Loss:  0.6389,  Train Acc: 98.33%, Valid Acc: 77.40%, Test Acc: 76.70%
Run: 01, Epoch: 53, Train Loss: 0.2148, Valid Loss:  0.6117, Test Loss:  0.6364,  Train Acc: 100.00%, Valid Acc: 77.40%, Test Acc: 76.70%
Run: 01, Epoch: 54, Train Loss: 0.2086, Valid Loss:  0.6093, Test Loss:  0.6340,  Train Acc: 100.00%, Valid Acc: 77.40%, Test Acc: 76.70%
Run: 01, Epoch: 55, Train Loss: 0.2024, Valid Loss:  0.6041, Test Loss:  0.6288,  Train Acc: 100.00%, Valid Acc: 77.00%, Test Acc: 76.90%
Run: 01, Epoch: 56, Train Loss: 0.1967, Valid Loss:  0.5988, Test Loss:  0.6235,  Train Acc: 100.00%, Valid Acc: 77.60%, Test Acc: 77.00%
Run: 01, Epoch: 57, Train Loss: 0.1914, Valid Loss:  0.5935, Test Loss:  0.6180,  Train Acc: 100.00%, Valid Acc: 77.60%, Test Acc: 77.20%
Run: 01, Epoch: 58, Train Loss: 0.1865, Valid Loss:  0.5891, Test Loss:  0.6134,  Train Acc: 98.33%, Valid Acc: 77.40%, Test Acc: 77.30%
Run: 01, Epoch: 59, Train Loss: 0.1819, Valid Loss:  0.5852, Test Loss:  0.6094,  Train Acc: 98.33%, Valid Acc: 77.40%, Test Acc: 77.30%
Run: 01, Epoch: 60, Train Loss: 0.1777, Valid Loss:  0.5821, Test Loss:  0.6062,  Train Acc: 98.33%, Valid Acc: 77.60%, Test Acc: 77.60%
Run: 01, Epoch: 61, Train Loss: 0.1733, Valid Loss:  0.5803, Test Loss:  0.6044,  Train Acc: 98.33%, Valid Acc: 77.60%, Test Acc: 77.70%
Run: 01, Epoch: 62, Train Loss: 0.1688, Valid Loss:  0.5801, Test Loss:  0.6044,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.70%
Run: 01, Epoch: 63, Train Loss: 0.1643, Valid Loss:  0.5804, Test Loss:  0.6051,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.30%
Run: 01, Epoch: 64, Train Loss: 0.1601, Valid Loss:  0.5818, Test Loss:  0.6071,  Train Acc: 100.00%, Valid Acc: 77.80%, Test Acc: 77.10%
Run: 01, Epoch: 65, Train Loss: 0.1563, Valid Loss:  0.5835, Test Loss:  0.6093,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.20%
Run: 01, Epoch: 66, Train Loss: 0.1530, Valid Loss:  0.5839, Test Loss:  0.6101,  Train Acc: 100.00%, Valid Acc: 78.20%, Test Acc: 77.20%
Run: 01, Epoch: 67, Train Loss: 0.1497, Valid Loss:  0.5833, Test Loss:  0.6098,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.40%
Run: 01, Epoch: 68, Train Loss: 0.1465, Valid Loss:  0.5818, Test Loss:  0.6085,  Train Acc: 100.00%, Valid Acc: 78.00%, Test Acc: 77.30%
Run: 01, Epoch: 69, Train Loss: 0.1434, Valid Loss:  0.5799, Test Loss:  0.6070,  Train Acc: 100.00%, Valid Acc: 77.80%, Test Acc: 77.20%
Run: 01, Epoch: 70, Train Loss: 0.1406, Valid Loss:  0.5788, Test Loss:  0.6063,  Train Acc: 100.00%, Valid Acc: 77.60%, Test Acc: 77.30%
Run: 01, Epoch: 71, Train Loss: 0.1379, Valid Loss:  0.5768, Test Loss:  0.6046,  Train Acc: 100.00%, Valid Acc: 77.20%, Test Acc: 77.40%
Run: 01, Epoch: 72, Train Loss: 0.1353, Valid Loss:  0.5745, Test Loss:  0.6024,  Train Acc: 100.00%, Valid Acc: 77.20%, Test Acc: 77.50%
Run: 01, Epoch: 73, Train Loss: 0.1330, Valid Loss:  0.5732, Test Loss:  0.6013,  Train Acc: 100.00%, Valid Acc: 77.80%, Test Acc: 77.50%
Run: 01, Epoch: 74, Train Loss: 0.1308, Valid Loss:  0.5708, Test Loss:  0.5992,  Train Acc: 100.00%, Valid Acc: 77.80%, Test Acc: 77.50%
